FE_MW,humidity,precipation,max_temp,min_temp,wind_speed
159740.0,33.69,0.0,52.25,27.63,6.55
189711.0,31.07,0.02,54.93,28.82,9.18
186054.0,48.05,0.0,53.32,30.58,5.89
188317.0,38.44,0.0,50.44,24.98,9.78
187744.0,44.59,0.0,52.83,31.94,9.08
179899.0,39.48,0.0,48.24,27.83,16.59
153997.0,45.0,0.0,43.1,23.22,10.78
144246.0,38.35,0.0,45.67,22.5,5.4
173521.0,45.66,0.0,46.04,23.15,5.89
189941.0,45.24,0.0,45.38,26.8,5.51
191474.0,55.66,0.0,47.88,29.04,8.05
190630.0,58.87,0.0,46.22,24.58,4.49
184006.0,44.93,0.0,45.04,24.46,7.88
166758.0,50.65,0.0,50.17,26.93,10.06
160421.0,54.47,0.0,47.88,28.64,4.46
184288.0,54.6,0.0,46.77,23.04,7.54
183849.0,47.94,0.02,45.4,23.54,8.39
176792.0,51.39,0.05,44.17,30.04,7.43
144138.0,58.74,0.0,40.04,21.97,7.26
152679.0,74.22,0.0,37.03,19.15,6.15
167356.0,68.08,0.0,41.68,20.44,9.74
166523.0,66.55,0.0,39.07,18.1,6.82
189797.0,67.17,0.0,38.34,13.8,7.43
196373.0,67.49,0.0,40.43,16.47,6.47
197293.0,74.33,0.0,39.83,18.82,5.99
195510.0,68.02,0.35,35.85,25.52,6.66
188316.0,64.24,0.0,43.57,21.91,13.43
167663.0,73.14,0.0,41.13,19.47,9.01
159623.0,51.34,0.0,44.68,23.06,12.76
178809.0,64.0,0.0,38.47,14.41,5.79
